Week,TeamName,PlayerName,LineupPosition,Points
1,tmjones212,TUA TAGOVAILOA,QB,45.00
1,tmjones212,BIJAN ROBINSON,RB,30.20
1,tmjones212,BUCKY IRVING,RB,17.20
1,tmjones212,XAVIER WORTHY,WR,27.60
1,tmjones212,BRIAN THOMAS,WR,19.40
1,tmjones212,PAT FREIERMUTH,TE,9.40
1,tmjones212,WANDALE ROBINSON,FLEX,17.60
1,tmjones212,KHALIL SHAKIR,FLEX,17.40
1,tmjones212,ZACH CHARBONNET,FLEX,16.20
1,tmjones212,JERRY JEUDY,FLEX,14.00
1,tmjones212,JUSTIN FIELDS,SUPER_FLEX,27.00
1,BaoDown,LAMAR JACKSON,QB,56.70
1,BaoDown,SAQUON BARKLEY,RB,49.40
1,BaoDown,ALVIN KAMARA,RB,36.00
1,BaoDown,STEFON DIGGS,WR,25.80
1,BaoDown,JAMARR CHASE,WR,19.40
1,BaoDown,ISAIAH LIKELY,TE,40.20
1,BaoDown,DEVON ACHANE,FLEX,36.00
1,BaoDown,BREECE HALL,FLEX,25.60
1,BaoDown,ZACK MOSS,FLEX,21.20
1,BaoDown,JAKOBI MEYERS,FLEX,15.80
1,BaoDown,DEREK CARR,SUPER_FLEX,40.60
1,EBao,DAK PRESCOTT,QB,24.50
1,EBao,KEN WALKER,RB,32.80
1,EBao,RACHAAD WHITE,RB,30.20
1,EBao,JAYDEN REED,WR,53.20
1,EBao,AJ BROWN,WR,37.80
1,EBao,KYLE PITTS,TE,14.20
1,EBao,NICO COLLINS,FLEX,32.40
1,EBao,KYREN WILLIAMS,FLEX,19.80
1,EBao,TRAVIS ETIENNE,FLEX,15.80
1,EBao,DEVIN SINGLETARY,FLEX,14.40
1,EBao,TREVOR LAWRENCE,SUPER_FLEX,23.80
1,Halteclere,JARED GOFF,QB,25.10
1,Halteclere,JK DOBBINS,RB,39.80
1,Halteclere,JAHMYR GIBBS,RB,24.80
1,Halteclere,MALIK NABERS,WR,18.20
1,Halteclere,GARRETT WILSON,WR,18.00
1,Halteclere,DALTON KINCAID,TE,3.20
1,Halteclere,NAJEE HARRIS,FLEX,16.80
1,Halteclere,DEVAUGHN VELE,FLEX,15.80
1,Halteclere,TANK DELL,FLEX,14.80
1,Halteclere,JALEN MCMILLAN,FLEX,13.40
1,Halteclere,JUSTIN HERBERT,SUPER_FLEX,21.60
1,androooooo,MATTHEW STAFFORD,QB,36.70
1,androooooo,EZEKIEL ELLIOTT,RB,17.80
1,androooooo,DANDRE SWIFT,RB,8.00
1,androooooo,CHRIS GODWIN,WR,30.60
1,androooooo,RASHID SHAHEED,WR,23.60
1,androooooo,MIKE MAYER,TE,2.60
1,androooooo,KEON COLEMAN,FLEX,14.20
1,androooooo,COURTLAND SUTTON,FLEX,12.60
1,androooooo,ANDREI IOSIVAS,FLEX,8.20
1,androooooo,BRANDON AIYUK,FLEX,7.60
1,androooooo,BROCK PURDY,SUPER_FLEX,25.30
1,ShadyCommish88,JAYDEN DANIELS,QB,48.00
1,ShadyCommish88,BRIAN ROBINSON,RB,26.80
1,ShadyCommish88,JEROME FORD,RB,25.80
1,ShadyCommish88,CEEDEE LAMB,WR,22.20
1,ShadyCommish88,GEORGE PICKENS,WR,21.00
1,ShadyCommish88,BROCK BOWERS,TE,17.60
1,ShadyCommish88,ISIAH PACHECO,FLEX,23.60
1,ShadyCommish88,ZAY FLOWERS,FLEX,16.20
1,ShadyCommish88,QUENTIN JOHNSTON,FLEX,10.60
1,ShadyCommish88,TUCKER KRAFT,FLEX,9.40
1,ShadyCommish88,ANTHONY RICHARDSON,SUPER_FLEX,46.40
1,emanueljd3,BAKER MAYFIELD,QB,57.10
1,emanueljd3,RHAMONDRE STEVENSON,RB,37.20
1,emanueljd3,JAMES CONNER,RB,27.60
1,emanueljd3,TYREEK HILL,WR,42.00
1,emanueljd3,JAMESON WILLIAMS,WR,40.80
1,emanueljd3,SAM LAPORTA,TE,13.00
1,emanueljd3,MIKE EVANS,FLEX,29.20
1,emanueljd3,JAMES COOK,FLEX,26.60
1,emanueljd3,DAVID MONTGOMERY,FLEX,25.60
1,emanueljd3,JUSTIN JEFFERSON,FLEX,21.80
1,emanueljd3,JORDAN LOVE,SUPER_FLEX,34.00
1,lamjohnson56,PATRICK MAHOMES,QB,33.10
1,lamjohnson56,AARON JONES,RB,32.80
1,lamjohnson56,TONY POLLARD,RB,27.80
1,lamjohnson56,COOPER KUPP,WR,47.00
1,lamjohnson56,RASHEE RICE,WR,31.60
1,lamjohnson56,GEORGE KITTLE,TE,12.00
1,lamjohnson56,JAYLEN WADDLE,FLEX,30.40
1,lamjohnson56,DEVONTA SMITH,FLEX,24.80
1,lamjohnson56,BRANDIN COOKS,FLEX,19.00
1,lamjohnson56,TY CHANDLER,FLEX,11.40
1,lamjohnson56,GENO SMITH,SUPER_FLEX,31.10
1,mlum20,CJ STROUD,QB,38.00
1,mlum20,JORDAN MASON,RB,40.40
1,mlum20,AUSTIN EKELER,RB,16.40
1,mlum20,TYLER LOCKETT,WR,21.40
1,mlum20,LADD MCCONKEY,WR,18.80
1,mlum20,DAVID NJOKU,TE,13.80
1,mlum20,ADAM THIELEN,FLEX,13.80
1,mlum20,CHIG OKONKWO,FLEX,12.00
1,mlum20,JONATHAN MINGO,FLEX,6.60
1,mlum20,LUKE MCCAFFREY,FLEX,6.60
1,mlum20,WILL LEVIS,SUPER_FLEX,13.90
1,connerstafford11,JOSH ALLEN,QB,51.00
1,connerstafford11,JOE MIXON,RB,47.60
1,connerstafford11,JOSH JACOBS,RB,25.80
1,connerstafford11,DEEBO SAMUEL,WR,26.40
1,connerstafford11,GREG DORTCH,WR,16.20
1,connerstafford11,DALLAS GOEDERT,TE,10.20
1,connerstafford11,JONATHAN TAYLOR,FLEX,15.60
1,connerstafford11,GABRIEL DAVIS,FLEX,15.40
1,connerstafford11,TANK BIGSBY,FLEX,14.60
1,connerstafford11,JOSH REYNOLDS,FLEX,14.00
1,connerstafford11,JALEN HURTS,SUPER_FLEX,34.40
2,tmjones212,DESHAUN WATSON,QB,28.60
2,tmjones212,BIJAN ROBINSON,RB,31.40
2,tmjones212,ZACH CHARBONNET,RB,24.80
2,tmjones212,AMON RA ST BROWN,WR,38.80
2,tmjones212,DARNELL MOONEY,WR,26.60
2,tmjones212,PAT FREIERMUTH,TE,11.80
2,tmjones212,DRAKE LONDON,FLEX,22.80
2,tmjones212,BRIAN THOMAS,FLEX,20.80
2,tmjones212,JERRY JEUDY,FLEX,19.60
2,tmjones212,KHALIL SHAKIR,FLEX,16.20
2,tmjones212,JUSTIN FIELDS,SUPER_FLEX,23.10
2,BaoDown,KYLER MURRAY,QB,56.40
2,BaoDown,ALVIN KAMARA,RB,65.00
2,BaoDown,DEVON ACHANE,RB,49.00
2,BaoDown,STEFON DIGGS,WR,11.40
2,BaoDown,JAMARR CHASE,WR,11.00
2,BaoDown,MARK ANDREWS,TE,14.20
2,BaoDown,BREECE HALL,FLEX,38.80
